Support,Pattern,Cluster Sequence
10,negoti take place → take place mediat → agreement implement reach → agreement implement reach → establish develop implement,18 → 4 → 27 → 27 → 43
10,negoti take place → take place mediat → agreement implement reach → agreement implement reach → talk discuss take,18 → 4 → 27 → 27 → 48
10,negoti take place → take place mediat → agreement implement reach → agreement implement reach → agreement implement reach,18 → 4 → 27 → 27 → 27
10,negoti take place → take place mediat → agreement implement reach → agreement implement reach → octob septemb decemb,18 → 4 → 27 → 27 → 13
10,negoti take place → take place mediat → agreement implement reach → effort progress lead → take place mediat,18 → 4 → 27 → 1 → 4
10,negoti take place → take place mediat → agreement implement reach → meet take place,18 → 4 → 27 → 22
10,negoti take place → take place mediat → februari januari hold → juli meet immedi → take place mediat,18 → 4 → 19 → 21 → 4
10,negoti take place → take place mediat → februari januari hold → juli meet immedi → octob septemb decemb,18 → 4 → 19 → 21 → 13
10,negoti take place → take place mediat → februari januari hold → take place mediat → effort progress lead,18 → 4 → 19 → 4 → 1
10,negoti take place → take place mediat → februari januari hold → take place mediat → octob septemb decemb,18 → 4 → 19 → 4 → 13
10,negoti take place → take place mediat → februari januari hold → take place mediat → meet take place,18 → 4 → 19 → 4 → 22
10,negoti take place → take place mediat → februari januari hold → cessat continu mediat,18 → 4 → 19 → 38
10,negoti take place → take place mediat → februari januari hold → effort progress lead,18 → 4 → 19 → 1
10,negoti take place → take place mediat → februari januari hold → octob septemb decemb,18 → 4 → 19 → 13
10,negoti take place → take place mediat → februari januari hold → coalit strateg launch,18 → 4 → 19 → 7
10,negoti take place → take place mediat → februari januari hold → meet take place,18 → 4 → 19 → 22
10,negoti take place → take place mediat → process take place → agreement implement reach,18 → 4 → 2 → 27
10,negoti take place → take place mediat → effort progress lead → agreement implement reach,18 → 4 → 1 → 27
10,negoti take place → take place mediat → effort progress lead → reconcili refus resum,18 → 4 → 1 → 30
10,negoti take place → take place mediat → effort progress lead → coalit strateg launch,18 → 4 → 1 → 7
10,negoti take place → take place mediat → govern state take → take place mediat,18 → 4 → 20 → 4
10,negoti take place → take place mediat → govern state take → cessat continu mediat,18 → 4 → 20 → 38
10,negoti take place → take place mediat → lead ceasefir peac → juli meet immedi,18 → 4 → 8 → 21
10,negoti take place → take place mediat → lead ceasefir peac → coalit strateg launch,18 → 4 → 8 → 7
10,negoti take place → take place mediat → reconcili refus resum → agreement implement reach,18 → 4 → 30 → 27
10,negoti take place → take place mediat → reconcili refus resum → establish develop implement,18 → 4 → 30 → 43
10,negoti take place → take place mediat → region nation tribe → agreement implement reach,18 → 4 → 17 → 27
10,negoti take place → take place mediat → region nation tribe → take place mediat,18 → 4 → 17 → 4
10,negoti take place → establish develop implement → commit agreement committe → sudane sudan negoti,18 → 43 → 11 → 6
10,negoti take place → establish develop implement → parti meet reach → take place mediat → take place mediat,18 → 43 → 39 → 4 → 4
10,negoti take place → establish develop implement → parti meet reach → effort progress lead,18 → 43 → 39 → 1
10,negoti take place → establish develop implement → parti meet reach → cessat continu mediat,18 → 43 → 39 → 38
10,negoti take place → establish develop implement → take place mediat → take place mediat → parti meet reach,18 → 43 → 4 → 4 → 39
10,negoti take place → establish develop implement → take place mediat → take place mediat → reconcili refus resum,18 → 43 → 4 → 4 → 30
10,negoti take place → establish develop implement → take place mediat → parti meet reach,18 → 43 → 4 → 39
10,negoti take place → establish develop implement → take place mediat → effort progress lead,18 → 43 → 4 → 1
10,negoti take place → establish develop implement → take place mediat → cessat continu mediat → agreement implement reach,18 → 43 → 4 → 38 → 27
10,negoti take place → establish develop implement → take place mediat → hold confer elect → agreement implement reach,18 → 43 → 4 → 49 → 27
10,negoti take place → establish develop implement → take place mediat → agreement implement reach → agreement implement reach,18 → 43 → 4 → 27 → 27
10,negoti take place → establish develop implement → take place mediat → agreement implement reach → reconcili refus resum,18 → 43 → 4 → 27 → 30
10,negoti take place → establish develop implement → take place mediat → meet take place,18 → 43 → 4 → 22
10,negoti take place → establish develop implement → coalit strateg launch → meet take place,18 → 43 → 7 → 22
10,negoti take place → establish develop implement → coalit strateg launch → establish develop implement,18 → 43 → 7 → 43
10,negoti take place → establish develop implement → coalit strateg launch → process take place,18 → 43 → 7 → 2
10,negoti take place → establish develop implement → coalit strateg launch → coalit strateg launch,18 → 43 → 7 → 7
10,negoti take place → establish develop implement → coalit strateg launch → commit agreement committe → agreement implement reach,18 → 43 → 7 → 11 → 27
10,negoti take place → establish develop implement → meet take place → take place mediat,18 → 43 → 22 → 4
10,negoti take place → establish develop implement → meet take place → parti meet reach,18 → 43 → 22 → 39
10,negoti take place → establish develop implement → meet take place → establish develop implement,18 → 43 → 22 → 43
10,negoti take place → establish develop implement → peac hold attend,18 → 43 → 31
10,negoti take place → establish develop implement → cessat continu mediat → take place mediat → take place mediat,18 → 43 → 38 → 4 → 4
10,negoti take place → establish develop implement → cessat continu mediat → cessat continu mediat,18 → 43 → 38 → 38
10,negoti take place → establish develop implement → cessat continu mediat → effort progress lead,18 → 43 → 38 → 1
10,negoti take place → establish develop implement → cessat continu mediat → reconcili refus resum,18 → 43 → 38 → 30
10,negoti take place → establish develop implement → cessat continu mediat → meet take place,18 → 43 → 38 → 22
10,negoti take place → establish develop implement → ceasefir take effect → agreement implement reach,18 → 43 → 25 → 27
10,negoti take place → establish develop implement → establish develop implement → effort progress lead,18 → 43 → 43 → 1
10,negoti take place → establish develop implement → tension violenc continu,18 → 43 → 24
10,negoti take place → establish develop implement → agreement implement reach → govern state take → commit agreement committe,18 → 43 → 27 → 20 → 11
10,negoti take place → establish develop implement → agreement implement reach → govern state take → coalit strateg launch,18 → 43 → 27 → 20 → 7
10,negoti take place → establish develop implement → agreement implement reach → govern state take → negoti take place,18 → 43 → 27 → 20 → 18
10,negoti take place → establish develop implement → agreement implement reach → commit agreement committe → sudane sudan negoti,18 → 43 → 27 → 11 → 6
10,negoti take place → establish develop implement → agreement implement reach → juli meet immedi,18 → 43 → 27 → 21
10,negoti take place → establish develop implement → agreement implement reach → negoti take place → commit agreement committe → sudane sudan negoti,18 → 43 → 27 → 18 → 11 → 6
10,negoti take place → establish develop implement → agreement implement reach → negoti take place → talk discuss take,18 → 43 → 27 → 18 → 48
10,negoti take place → establish develop implement → agreement implement reach → negoti take place → effort progress lead,18 → 43 → 27 → 18 → 1
10,negoti take place → establish develop implement → agreement implement reach → parti meet reach,18 → 43 → 27 → 39
10,negoti take place → establish develop implement → agreement implement reach → lead ceasefir peac → coalit strateg launch,18 → 43 → 27 → 8 → 7
10,negoti take place → establish develop implement → agreement implement reach → process take place,18 → 43 → 27 → 2
10,negoti take place → establish develop implement → agreement implement reach → sign meet comprehen,18 → 43 → 27 → 0
10,negoti take place → establish develop implement → agreement implement reach → agreement implement reach → cessat continu mediat,18 → 43 → 27 → 27 → 38
10,negoti take place → establish develop implement → agreement implement reach → cessat continu mediat → negoti take place,18 → 43 → 27 → 38 → 18
10,negoti take place → establish develop implement → govern state take → coalit strateg launch → agreement implement reach,18 → 43 → 20 → 7 → 27
10,negoti take place → establish develop implement → govern state take → establish develop implement,18 → 43 → 20 → 43
10,negoti take place → establish develop implement → reconcili refus resum → agreement implement reach → commit agreement committe,18 → 43 → 30 → 27 → 11
10,negoti take place → establish develop implement → reconcili refus resum → agreement implement reach → agreement implement reach,18 → 43 → 30 → 27 → 27
10,negoti take place → establish develop implement → reconcili refus resum → negoti take place → agreement implement reach,18 → 43 → 30 → 18 → 27
10,negoti take place → establish develop implement → reconcili refus resum → govern state take,18 → 43 → 30 → 20
10,negoti take place → establish develop implement → reconcili refus resum → coalit strateg launch,18 → 43 → 30 → 7
10,negoti take place → establish develop implement → reconcili refus resum → establish develop implement,18 → 43 → 30 → 43
10,negoti take place → establish develop implement → effort progress lead → establish develop implement,18 → 43 → 1 → 43
10,negoti take place → establish develop implement → effort progress lead → cessat continu mediat → agreement implement reach,18 → 43 → 1 → 38 → 27
10,negoti take place → establish develop implement → effort progress lead → hold confer elect,18 → 43 → 1 → 49
10,negoti take place → establish develop implement → effort progress lead → agreement implement reach → cessat continu mediat,18 → 43 → 1 → 27 → 38
10,negoti take place → establish develop implement → effort progress lead → reconcili refus resum,18 → 43 → 1 → 30
10,negoti take place → establish develop implement → effort progress lead → octob septemb decemb,18 → 43 → 1 → 13
10,negoti take place → establish develop implement → effort progress lead → take place mediat → take place mediat,18 → 43 → 1 → 4 → 4
10,negoti take place → establish develop implement → hold confer elect → agreement implement reach → negoti take place,18 → 43 → 49 → 27 → 18
10,negoti take place → establish develop implement → hold confer elect → agreement implement reach → effort progress lead,18 → 43 → 49 → 27 → 1
10,negoti take place → establish develop implement → hold confer elect → reconcili refus resum → agreement implement reach,18 → 43 → 49 → 30 → 27
10,negoti take place → establish develop implement → hold confer elect → take place mediat,18 → 43 → 49 → 4
10,negoti take place → establish develop implement → hold confer elect → coalit strateg launch,18 → 43 → 49 → 7
10,negoti take place → establish develop implement → hold confer elect → lead ceasefir peac,18 → 43 → 49 → 8
10,negoti take place → establish develop implement → hold confer elect → effort progress lead,18 → 43 → 49 → 1
10,negoti take place → establish develop implement → negoti take place → commit agreement committe → sudane sudan negoti,18 → 43 → 18 → 11 → 6
10,negoti take place → establish develop implement → negoti take place → negoti take place → negoti take place,18 → 43 → 18 → 18 → 18
10,negoti take place → establish develop implement → negoti take place → parti meet reach,18 → 43 → 18 → 39
10,negoti take place → establish develop implement → negoti take place → establish develop implement,18 → 43 → 18 → 43
10,negoti take place → establish develop implement → negoti take place → reconcili refus resum,18 → 43 → 18 → 30
10,negoti take place → establish develop implement → negoti take place → take place mediat,18 → 43 → 18 → 4
10,negoti take place → establish develop implement → negoti take place → coalit strateg launch → commit agreement committe,18 → 43 → 18 → 7 → 11
10,negoti take place → establish develop implement → negoti take place → coalit strateg launch → effort progress lead,18 → 43 → 18 → 7 → 1
10,negoti take place → establish develop implement → negoti take place → sign meet comprehen,18 → 43 → 18 → 0
10,negoti take place → establish develop implement → lead ceasefir peac → effort progress lead,18 → 43 → 8 → 1
10,negoti take place → establish develop implement → juli meet immedi → hold confer elect,18 → 43 → 21 → 49
10,negoti take place → establish develop implement → process take place → cessat continu mediat,18 → 43 → 2 → 38
10,negoti take place → establish develop implement → region nation tribe,18 → 43 → 17
10,negoti take place → establish develop implement → repres repre govern → agreement implement reach,18 → 43 → 23 → 27
10,negoti take place → establish develop implement → februari januari hold → cessat continu mediat,18 → 43 → 19 → 38
10,negoti take place → establish develop implement → februari januari hold → effort progress lead,18 → 43 → 19 → 1
10,negoti take place → agre end set → commit agreement committe,18 → 35 → 11
10,negoti take place → agre end set → juli meet immedi,18 → 35 → 21
10,negoti take place → agre end set → take place mediat → negoti take place,18 → 35 → 4 → 18
10,negoti take place → agre end set → agre end set,18 → 35 → 35
10,negoti take place → agre end set → agreement implement reach → agreement implement reach,18 → 35 → 27 → 27
10,negoti take place → agre end set → negoti take place → parti meet reach,18 → 35 → 18 → 39
10,negoti take place → agre end set → sign meet comprehen,18 → 35 → 0
10,negoti take place → agre end set → reconcili refus resum,18 → 35 → 30
10,negoti take place → agre end set → process take place,18 → 35 → 2
10,negoti take place → agre end set → effort progress lead,18 → 35 → 1
10,negoti take place → agre end set → meet take place,18 → 35 → 22
10,negoti take place → commit agreement committe → meet turkana pokot → establish develop implement,18 → 11 → 45 → 43
10,negoti take place → commit agreement committe → commit agreement committe → establish develop implement,18 → 11 → 11 → 43
10,negoti take place → commit agreement committe → commit agreement committe → cessat continu mediat,18 → 11 → 11 → 38
10,negoti take place → commit agreement committe → commit agreement committe → agreement implement reach,18 → 11 → 11 → 27
10,negoti take place → commit agreement committe → parti meet reach,18 → 11 → 39
10,negoti take place → commit agreement committe → sign meet comprehen → establish develop implement,18 → 11 → 0 → 43
10,negoti take place → commit agreement committe → sign meet comprehen → agreement implement reach,18 → 11 → 0 → 27
10,negoti take place → commit agreement committe → octob septemb decemb,18 → 11 → 13
10,negoti take place → commit agreement committe → juli meet immedi → establish develop implement,18 → 11 → 21 → 43
10,negoti take place → commit agreement committe → establish develop implement → cessat continu mediat,18 → 11 → 43 → 38
10,negoti take place → commit agreement committe → establish develop implement → agreement implement reach,18 → 11 → 43 → 27
10,negoti take place → commit agreement committe → coalit strateg launch → cessat continu mediat,18 → 11 → 7 → 38
10,negoti take place → commit agreement committe → coalit strateg launch → establish develop implement,18 → 11 → 7 → 43
10,negoti take place → commit agreement committe → coalit strateg launch → agreement implement reach,18 → 11 → 7 → 27
10,negoti take place → commit agreement committe → cessat continu mediat → establish develop implement,18 → 11 → 38 → 43
10,negoti take place → commit agreement committe → cessat continu mediat → agreement implement reach,18 → 11 → 38 → 27
10,negoti take place → commit agreement committe → ceasefir take effect,18 → 11 → 25
10,negoti take place → commit agreement committe → tension violenc continu,18 → 11 → 24
10,negoti take place → commit agreement committe → agreement implement reach → juli meet immedi,18 → 11 → 27 → 21
10,negoti take place → commit agreement committe → govern state take → take place mediat,18 → 11 → 20 → 4
10,negoti take place → commit agreement committe → negoti take place → negoti take place,18 → 11 → 18 → 18
10,negoti take place → commit agreement committe → negoti take place → agre end set,18 → 11 → 18 → 35
10,negoti take place → commit agreement committe → negoti take place → establish develop implement,18 → 11 → 18 → 43
10,negoti take place → commit agreement committe → negoti take place → commit agreement committe,18 → 11 → 18 → 11
10,negoti take place → commit agreement committe → negoti take place → cessat continu mediat,18 → 11 → 18 → 38
10,negoti take place → region nation tribe → take place mediat → parti meet reach,18 → 17 → 4 → 39
10,negoti take place → region nation tribe → take place mediat → talk discuss take,18 → 17 → 4 → 48
10,negoti take place → region nation tribe → take place mediat → februari januari hold,18 → 17 → 4 → 19
10,negoti take place → region nation tribe → negoti take place → govern congoles congo,18 → 17 → 18 → 44
10,negoti take place → region nation tribe → negoti take place → agreement implement reach,18 → 17 → 18 → 27
10,negoti take place → region nation tribe → negoti take place → meet take place,18 → 17 → 18 → 22
10,negoti take place → region nation tribe → tension violenc continu,18 → 17 → 24
10,negoti take place → region nation tribe → agreement implement reach → take place mediat,18 → 17 → 27 → 4
10,negoti take place → region nation tribe → agreement implement reach → agreement implement reach,18 → 17 → 27 → 27
10,negoti take place → region nation tribe → agreement implement reach → negoti take place,18 → 17 → 27 → 18
10,negoti take place → region nation tribe → februari januari hold,18 → 17 → 19
10,negoti take place → region nation tribe → octob septemb decemb,18 → 17 → 13
10,negoti take place → coalit strateg launch → negoti take place → negoti take place,18 → 7 → 18 → 18
10,negoti take place → coalit strateg launch → negoti take place → cessat continu mediat,18 → 7 → 18 → 38
10,negoti take place → coalit strateg launch → take place mediat → govern congoles congo,18 → 7 → 4 → 44
10,negoti take place → coalit strateg launch → agreement implement reach → negoti take place,18 → 7 → 27 → 18
10,negoti take place → coalit strateg launch → agreement implement reach → agreement implement reach,18 → 7 → 27 → 27
10,negoti take place → coalit strateg launch → sudane sudan negoti → agreement implement reach,18 → 7 → 6 → 27
10,negoti take place → coalit strateg launch → sudane sudan negoti → effort progress lead,18 → 7 → 6 → 1
10,negoti take place → coalit strateg launch → govern state take,18 → 7 → 20
10,negoti take place → coalit strateg launch → commit agreement committe → agreement implement reach,18 → 7 → 11 → 27
10,negoti take place → coalit strateg launch → process take place,18 → 7 → 2
10,negoti take place → negoti take place → establish develop implement → take place mediat → negoti take place,18 → 18 → 43 → 4 → 18
10,negoti take place → negoti take place → establish develop implement → take place mediat → agreement implement reach,18 → 18 → 43 → 4 → 27
10,negoti take place → negoti take place → establish develop implement → commit agreement committe,18 → 18 → 43 → 11
10,negoti take place → negoti take place → establish develop implement → agreement implement reach → commit agreement committe,18 → 18 → 43 → 27 → 11
10,negoti take place → negoti take place → establish develop implement → agreement implement reach → lead ceasefir peac,18 → 18 → 43 → 27 → 8
10,negoti take place → negoti take place → establish develop implement → agreement implement reach → effort progress lead,18 → 18 → 43 → 27 → 1
10,negoti take place → negoti take place → establish develop implement → govern state take → cessat continu mediat,18 → 18 → 43 → 20 → 38
10,negoti take place → negoti take place → establish develop implement → meet turkana pokot,18 → 18 → 43 → 45
10,negoti take place → negoti take place → establish develop implement → meet alreadi take,18 → 18 → 43 → 9
10,negoti take place → negoti take place → establish develop implement → effort progress lead → cessat continu mediat,18 → 18 → 43 → 1 → 38
10,negoti take place → negoti take place → establish develop implement → cessat continu mediat → negoti take place,18 → 18 → 43 → 38 → 18
10,negoti take place → negoti take place → establish develop implement → establish develop implement → negoti take place,18 → 18 → 43 → 43 → 18
10,negoti take place → negoti take place → establish develop implement → ceasefir take effect,18 → 18 → 43 → 25
10,negoti take place → negoti take place → establish develop implement → lead ceasefir peac → agreement implement reach,18 → 18 → 43 → 8 → 27
10,negoti take place → negoti take place → establish develop implement → lead ceasefir peac → coalit strateg launch,18 → 18 → 43 → 8 → 7
10,negoti take place → negoti take place → establish develop implement → hold confer elect → negoti take place,18 → 18 → 43 → 49 → 18
10,negoti take place → negoti take place → establish develop implement → octob septemb decemb,18 → 18 → 43 → 13
10,negoti take place → negoti take place → establish develop implement → coalit strateg launch → agreement implement reach,18 → 18 → 43 → 7 → 27
10,negoti take place → negoti take place → establish develop implement → sign meet comprehen → agreement implement reach,18 → 18 → 43 → 0 → 27
10,negoti take place → negoti take place → ababa take meet → take place mediat,18 → 18 → 40 → 4
10,negoti take place → negoti take place → parti meet reach → take place mediat → meet take place,18 → 18 → 39 → 4 → 22
10,negoti take place → negoti take place → parti meet reach → take place mediat → negoti take place,18 → 18 → 39 → 4 → 18
10,negoti take place → negoti take place → parti meet reach → commit agreement committe,18 → 18 → 39 → 11
10,negoti take place → negoti take place → parti meet reach → agreement implement reach → agreement implement reach,18 → 18 → 39 → 27 → 27
10,negoti take place → negoti take place → parti meet reach → cessat continu mediat,18 → 18 → 39 → 38
10,negoti take place → negoti take place → parti meet reach → parti meet reach,18 → 18 → 39 → 39
10,negoti take place → negoti take place → parti meet reach → negoti take place → govern state take,18 → 18 → 39 → 18 → 20
10,negoti take place → negoti take place → parti meet reach → negoti take place → take place mediat → agreement implement reach,18 → 18 → 39 → 18 → 4 → 27
10,negoti take place → negoti take place → parti meet reach → establish develop implement → agreement implement reach,18 → 18 → 39 → 43 → 27
10,negoti take place → negoti take place → parti meet reach → octob septemb decemb,18 → 18 → 39 → 13
10,negoti take place → negoti take place → parti meet reach → februari januari hold,18 → 18 → 39 → 19
10,negoti take place → negoti take place → take place mediat → take place mediat → establish develop implement → negoti take place,18 → 18 → 4 → 4 → 43 → 18
10,negoti take place → negoti take place → take place mediat → take place mediat → agreement implement reach → cessat continu mediat,18 → 18 → 4 → 4 → 27 → 38
10,negoti take place → negoti take place → take place mediat → take place mediat → negoti take place → negoti take place,18 → 18 → 4 → 4 → 18 → 18
10,negoti take place → negoti take place → take place mediat → take place mediat → negoti take place → negoti take place → take place mediat,18 → 18 → 4 → 4 → 18 → 18 → 4
10,negoti take place → negoti take place → take place mediat → take place mediat → negoti take place → take place mediat → coalit strateg launch,18 → 18 → 4 → 4 → 18 → 4 → 7
10,negoti take place → negoti take place → take place mediat → take place mediat → negoti take place → talk discuss take,18 → 18 → 4 → 4 → 18 → 48
10,negoti take place → negoti take place → take place mediat → take place mediat → negoti take place → cessat continu mediat,18 → 18 → 4 → 4 → 18 → 38
10,negoti take place → negoti take place → take place mediat → take place mediat → govern state take → negoti take place,18 → 18 → 4 → 4 → 20 → 18
10,negoti take place → negoti take place → take place mediat → take place mediat → take place mediat → take place mediat,18 → 18 → 4 → 4 → 4 → 4
10,negoti take place → negoti take place → take place mediat → take place mediat → take place mediat → effort progress lead,18 → 18 → 4 → 4 → 4 → 1
10,negoti take place → negoti take place → take place mediat → take place mediat → process take place,18 → 18 → 4 → 4 → 2
10,negoti take place → negoti take place → take place mediat → take place mediat → coalit strateg launch → coalit strateg launch,18 → 18 → 4 → 4 → 7 → 7
10,negoti take place → negoti take place → take place mediat → take place mediat → hold confer elect,18 → 18 → 4 → 4 → 49
10,negoti take place → negoti take place → take place mediat → take place mediat → meet turkana pokot,18 → 18 → 4 → 4 → 45
10,negoti take place → negoti take place → take place mediat → meet take place → meet take place,18 → 18 → 4 → 22 → 22
10,negoti take place → negoti take place → take place mediat → meet take place → effort progress lead,18 → 18 → 4 → 22 → 1
10,negoti take place → negoti take place → take place mediat → meet take place → parti meet reach,18 → 18 → 4 → 22 → 39
10,negoti take place → negoti take place → take place mediat → agreement implement reach → take place mediat → talk discuss take,18 → 18 → 4 → 27 → 4 → 48
10,negoti take place → negoti take place → take place mediat → agreement implement reach → take place mediat → negoti take place,18 → 18 → 4 → 27 → 4 → 18
10,negoti take place → negoti take place → take place mediat → agreement implement reach → take place mediat → octob septemb decemb,18 → 18 → 4 → 27 → 4 → 13
10,negoti take place → negoti take place → take place mediat → agreement implement reach → take place mediat → coalit strateg launch,18 → 18 → 4 → 27 → 4 → 7
10,negoti take place → negoti take place → take place mediat → agreement implement reach → take place mediat → take place mediat,18 → 18 → 4 → 27 → 4 → 4
10,negoti take place → negoti take place → take place mediat → agreement implement reach → parti meet reach,18 → 18 → 4 → 27 → 39
10,negoti take place → negoti take place → take place mediat → agreement implement reach → agreement implement reach → octob septemb decemb,18 → 18 → 4 → 27 → 27 → 13
10,negoti take place → negoti take place → take place mediat → agreement implement reach → negoti take place → coalit strateg launch,18 → 18 → 4 → 27 → 18 → 7
10,negoti take place → negoti take place → take place mediat → agreement implement reach → octob septemb decemb,18 → 18 → 4 → 27 → 13
10,negoti take place → negoti take place → take place mediat → agreement implement reach → cessat continu mediat → negoti take place,18 → 18 → 4 → 27 → 38 → 18
10,negoti take place → negoti take place → take place mediat → agreement implement reach → effort progress lead,18 → 18 → 4 → 27 → 1
10,negoti take place → negoti take place → take place mediat → juli meet immedi → govern congoles congo,18 → 18 → 4 → 21 → 44
10,negoti take place → negoti take place → take place mediat → juli meet immedi → coalit strateg launch,18 → 18 → 4 → 21 → 7
10,negoti take place → negoti take place → take place mediat → peac hold attend → cessat continu mediat,18 → 18 → 4 → 31 → 38
10,negoti take place → negoti take place → take place mediat → govern state take → agreement implement reach,18 → 18 → 4 → 20 → 27
10,negoti take place → negoti take place → take place mediat → coalit strateg launch → take place mediat,18 → 18 → 4 → 7 → 4
10,negoti take place → negoti take place → take place mediat → coalit strateg launch → octob septemb decemb,18 → 18 → 4 → 7 → 13
10,negoti take place → negoti take place → take place mediat → lead ceasefir peac → agreement implement reach,18 → 18 → 4 → 8 → 27
10,negoti take place → negoti take place → take place mediat → lead ceasefir peac → coalit strateg launch,18 → 18 → 4 → 8 → 7
10,negoti take place → negoti take place → take place mediat → negoti take place → govern state take → negoti take place,18 → 18 → 4 → 18 → 20 → 18
10,negoti take place → negoti take place → take place mediat → negoti take place → negoti take place → negoti take place → take place mediat,18 → 18 → 4 → 18 → 18 → 18 → 4
10,negoti take place → negoti take place → take place mediat → negoti take place → negoti take place → take place mediat → take place mediat,18 → 18 → 4 → 18 → 18 → 4 → 4
10,negoti take place → negoti take place → take place mediat → negoti take place → negoti take place → coalit strateg launch,18 → 18 → 4 → 18 → 18 → 7
10,negoti take place → negoti take place → take place mediat → negoti take place → take place mediat → parti meet reach,18 → 18 → 4 → 18 → 4 → 39
10,negoti take place → negoti take place → take place mediat → negoti take place → take place mediat → establish develop implement → agreement implement reach,18 → 18 → 4 → 18 → 4 → 43 → 27
10,negoti take place → negoti take place → take place mediat → negoti take place → reconcili refus resum,18 → 18 → 4 → 18 → 30
10,negoti take place → negoti take place → take place mediat → negoti take place → lead ceasefir peac,18 → 18 → 4 → 18 → 8
10,negoti take place → negoti take place → take place mediat → negoti take place → coalit strateg launch → take place mediat,18 → 18 → 4 → 18 → 7 → 4
10,negoti take place → negoti take place → take place mediat → negoti take place → talk discuss take,18 → 18 → 4 → 18 → 48
10,negoti take place → negoti take place → take place mediat → ceasefir take effect,18 → 18 → 4 → 25
10,negoti take place → negoti take place → take place mediat → parti meet reach → negoti take place,18 → 18 → 4 → 39 → 18
10,negoti take place → negoti take place → take place mediat → parti meet reach → talk discuss take,18 → 18 → 4 → 39 → 48
10,negoti take place → negoti take place → take place mediat → parti meet reach → meet take place,18 → 18 → 4 → 39 → 22
10,negoti take place → negoti take place → take place mediat → process take place,18 → 18 → 4 → 2
10,negoti take place → negoti take place → take place mediat → hold confer elect → take place mediat,18 → 18 → 4 → 49 → 4
10,negoti take place → negoti take place → take place mediat → hold confer elect → negoti take place,18 → 18 → 4 → 49 → 18
10,negoti take place → negoti take place → take place mediat → hold confer elect → cessat continu mediat,18 → 18 → 4 → 49 → 38
10,negoti take place → negoti take place → take place mediat → hold confer elect → juli meet immedi,18 → 18 → 4 → 49 → 21
10,negoti take place → negoti take place → take place mediat → octob septemb decemb → take place mediat,18 → 18 → 4 → 13 → 4
10,negoti take place → negoti take place → take place mediat → octob septemb decemb → take place mediat → coalit strateg launch,18 → 18 → 4 → 13 → 4 → 7
10,negoti take place → negoti take place → take place mediat → cessat continu mediat → coalit strateg launch,18 → 18 → 4 → 38 → 7
10,negoti take place → negoti take place → take place mediat → cessat continu mediat → take place mediat,18 → 18 → 4 → 38 → 4
10,negoti take place → negoti take place → take place mediat → meet turkana pokot,18 → 18 → 4 → 45
10,negoti take place → negoti take place → take place mediat → region nation tribe,18 → 18 → 4 → 17
10,negoti take place → negoti take place → take place mediat → februari januari hold → agreement implement reach,18 → 18 → 4 → 19 → 27
10,negoti take place → negoti take place → take place mediat → effort progress lead → take place mediat,18 → 18 → 4 → 1 → 4
10,negoti take place → negoti take place → take place mediat → effort progress lead → cessat continu mediat,18 → 18 → 4 → 1 → 38
10,negoti take place → negoti take place → govern congoles congo → govern state take,18 → 18 → 44 → 20
10,negoti take place → negoti take place → govern congoles congo → lead ceasefir peac,18 → 18 → 44 → 8
10,negoti take place → negoti take place → govern congoles congo → govern congoles congo,18 → 18 → 44 → 44
10,negoti take place → negoti take place → cessat continu mediat → establish develop implement → agreement implement reach,18 → 18 → 38 → 43 → 27
10,negoti take place → negoti take place → cessat continu mediat → agreement implement reach → agreement implement reach,18 → 18 → 38 → 27 → 27
10,negoti take place → negoti take place → cessat continu mediat → negoti take place → meet take place,18 → 18 → 38 → 18 → 22
10,negoti take place → negoti take place → cessat continu mediat → negoti take place → cessat continu mediat,18 → 18 → 38 → 18 → 38
10,negoti take place → negoti take place → cessat continu mediat → take place mediat → juli meet immedi,18 → 18 → 38 → 4 → 21
10,negoti take place → negoti take place → cessat continu mediat → take place mediat → negoti take place,18 → 18 → 38 → 4 → 18
10,negoti take place → negoti take place → cessat continu mediat → take place mediat → effort progress lead,18 → 18 → 38 → 4 → 1
10,negoti take place → negoti take place → cessat continu mediat → cessat continu mediat → negoti take place,18 → 18 → 38 → 38 → 18
10,negoti take place → negoti take place → cessat continu mediat → cessat continu mediat → agreement implement reach,18 → 18 → 38 → 38 → 27
10,negoti take place → negoti take place → cessat continu mediat → octob septemb decemb,18 → 18 → 38 → 13
10,negoti take place → negoti take place → cessat continu mediat → effort progress lead,18 → 18 → 38 → 1
10,negoti take place → negoti take place → commit agreement committe → agreement implement reach → agreement implement reach,18 → 18 → 11 → 27 → 27
10,negoti take place → negoti take place → commit agreement committe → govern state take → agreement implement reach,18 → 18 → 11 → 20 → 27
10,negoti take place → negoti take place → commit agreement committe → take place mediat → agreement implement reach,18 → 18 → 11 → 4 → 27
10,negoti take place → negoti take place → commit agreement committe → coalit strateg launch,18 → 18 → 11 → 7
10,negoti take place → negoti take place → commit agreement committe → sign meet comprehen,18 → 18 → 11 → 0
10,negoti take place → negoti take place → commit agreement committe → cessat continu mediat,18 → 18 → 11 → 38
10,negoti take place → negoti take place → agreement implement reach → govern state take → negoti take place,18 → 18 → 27 → 20 → 18
10,negoti take place → negoti take place → agreement implement reach → govern state take → negoti take place → agreement implement reach,18 → 18 → 27 → 20 → 18 → 27
